MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
g000007_900023,129.0128259,35.2071048,2023-04-29 05:04,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:06,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:08,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:09,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:11,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:13,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:15,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:17,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:19,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:21,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:23,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:24,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:26,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:28,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:30,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:32,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:34,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:36,g_g000007
g000007_900023,129.0128259,35.2071048,2023-04-29 05:37,g_g000007
g000007_900023,129.0129061,35.2069367,2023-04-29 05:39,g_g000007
g000007_900023,129.0130233,35.2072096,2023-04-29 05:41,g_g000007
g000007_900023,129.01296,35.2072688,2023-04-29 05:43,g_g000007
g000007_900023,129.0129417,35.2073029,2023-04-29 05:45,g_g000007
g000007_900023,129.0128686,35.207218,2023-04-29 05:47,g_g000007
g000007_900023,129.0130623,35.2071374,2023-04-29 05:49,g_g000007
g000007_900023,129.0130623,35.2071374,2023-04-29 05:50,g_g000007
g000007_900023,129.0128669,35.2071612,2023-04-29 05:52,g_g000007
g000007_900023,129.0128669,35.2071612,2023-04-29 05:54,g_g000007
g000007_900023,129.0128293,35.2071427,2023-04-29 05:56,g_g000007
g000007_900023,129.0129126,35.2070491,2023-04-29 05:58,g_g000007
g000007_900023,129.0128985,35.2071961,2023-04-29 06:00,g_g000007
g000007_900023,129.0129272,35.2072564,2023-04-29 06:02,g_g000007
g000007_900023,129.0127304,35.2070695,2023-04-29 06:03,g_g000007
g000007_900023,129.0126338,35.2071057,2023-04-29 06:05,g_g000007
g000007_900023,129.0126183,35.2071241,2023-04-29 06:07,g_g000007
g000007_900023,129.0126507,35.2070927,2023-04-29 06:09,g_g000007
g000007_900023,129.0128877,35.2070974,2023-04-29 06:11,g_g000007
