TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f013019,고기.마른안주.과자,1,11,1068307115,명성(준)마트,서울 용산구 두텁바위로 54-99,서울 용산구 용산동2가 2,3102002,1117010200,2023-08-24 13:12,1,29190,맛있는오뚜기밥;액티비아 병 플레인;더블링 콘&스윗치즈;하우스 그릴 부어스트;존쿡델리미트 킬바사,
f_f013019,고기.마른안주.과자,3,11,1068307115,명성(준)마트,,,,,2023-08-24 12:59,1,56140,육개장사발면;오뚜기 참깨라면;신라면컵;튀김우동컵;마늘빵아몬드,
f_f013019,고기.마른안주.과자,4,11,2068650913,이마트,경기 안산시 단원구 원포공원1로 46,경기 안산시 단원구 초지동 742-4,3191064,4127310700,2023-08-25 17:48,1,20120,코카콜라;러빙홈 분식용기;뿌)테이크아웃컵;모아모아;러빙홈 종이공기,
f_f013019,고기.마른안주.과자,5,11,1849600086,배큰푸드,경기 부천시 지봉로 114,경기 부천시 역곡동 85-7,3185016,4119010700,2023-08-24 15:04,1,123300,돈생삼겹살;고기장사 정육,
f_f013141,아이스크림; 과자,0,2,,아이슈크림,동명로 113 1층,,,,,1,3700,,2629010700
f_f013177,차리프  클래스 예약금,1,2,1424000858,차리프,강원특별자치도 강릉시 토성로 165-6,강원특별자치도 강릉시 임당동 21-1,3220046,5115010500,2023-08-28 18:35,1,20000,차리프 ,
f_f013198,주류 고기류 치즈,1,2,,(주)에스에스지닷컴,,,,,2023-08-29 00:00,1,31421,돈마루 무항생제 삼겹살 구이용;청해명가[냉동][국산]통마리 국산 오징어채;[무항생제 해발500]냉장등심덧살구이용;[냉장]설성 무항생제 한돈 등갈비,
f_f013198,주류 고기류 치즈,2,2,8708801143,주식회사 에스에스지닷컴,서울 강남구 테헤란로 231,서울 강남구 역삼동 676,3122010,1168010100,2023-08-31 00:00,1,15280,노브랜드 레모네이드;치즈플래터;피코크 감바스 스파이시;웅진식품 티즐 제로 스파클링 유자그린티 기획팩;배송비,
f_f013251,아메리카노2잔,0,1,,반야월사주카페,신안동17-4,,,,,3,10000,,4817012500
f_f013263,커피 및 간식,1,4,1293213748,CU,경기 수원시 영통구 봉영로1517번길 23,경기 수원시 영통구 영통동 970-5,4331088,4111710500,2023-08-26 08:07,1,7100,허쉬아몬드 초콜릿;허쉬밀크 초콜릿;콘트라블랙 샷P;제주삼다수P,
f_f013267,베이글,1,3,4920901424,이디야커피,서울 구로구 오류로8길 65,,4148422,1153010800,2023-08-27 15:20,1,6700,(베이글)어니언;대파베이컨 크림치즈 베이글,
f_f013387,연극 티켓,1,1,8248102515,(주)인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-08-27 00:00,1,80000,아트플러스 씨어터 관람권,
f_f013407,모종삽,0,2,,평촌이마트,1608,,,,,1,2500,,4117310200
f_f013421,스노쿨링 장비,1,1,5248601528,NAVER FINANCIAL,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-08-27 00:00,1,43520,투사 TUSA 리프투어러 RC-1117Q 성인용 스노클링 마스크 세트,
f_f013512,과자,1,2,1634800870,에이스마트,서울 구로구 오리로 1309,서울 구로구 궁동 278-2,3000022,1153010900,2023-09-09 08:45,1,4650,해태)구운양파;오)오감자딥바베;쌀새우깡,
f_f013565,휘발유,1,2,6068546188,에스씨(주)새문주유소,부산 사상구 학감대로 30,부산 사상구 학장동 48,2006017,2653010700,2023-09-03 21:30,1,50000,주유비,
f_f013609,주유,1,3,6912100951,조양주유소,대구 중구 달구벌대로 2194,대구 중구 대봉동 21-7,2007002,2711015700,2023-09-16 10:16,1,50000,주유비,
f_f013692,음료수게토레이,1,1,4108605870,GS25 ,전북 전주시 덕진구 가리내로 70,,3267002,4511310700,2023-08-28 12:54,1,2090,메가볼츠,
f_f013850,주유,1,4,5488501319,현대오일뱅크(주)직영 장호셀프주유소,서울 광진구 자양로 37,서울 광진구 자양동 677-5,3104010,1121510500,2023-09-06 11:26,1,93000,주유비,
f_f013855,아이스 아메리카노,1,1,1138144055,(주)다날,경기 성남시 분당구 분당로 55,경기 성남시 분당구 서현동 266-1,3180026,4113510500,2023-08-30 12:01,1,1350,,
f_f013861,유류대,0,4,,알뜰세원주유소,275-43,,,,,1,50000,,2653010700
f_f014019,주유,1,2,5158512077,(주)태산이앤엘제2강변주유소,경북 경산시 하양읍 대경로 559,경북 경산시 하양읍 부호리 143-1,3000047,4729025031,2023-09-08 17:12,1,30000,주유비,
f_f014100,데이비드호크니 전시회 예매,1,2,1208147521,주식회사 카카오,제주특별자치도 제주시 첨단로 242,제주특별자치도 제주시 영평동 2181,3349191,5011013600,2023-07-21 12:07,1,15000,[얼리버드/부산]데이비드 호크니&브리티시 팝아트 ,
f_f014183,커피,0,2,,빽다방,546-11,,,,,1,4500,,1121510300
f_f014287,기차표 예매,0,2,,코레일,190,,,,,1,34800,,4211011700
f_f014523,요시고 사진전 얼리버드 티켓 (경로 기입할때 적긴했는데 한번 더 확인차 적었습니다),1,3,2618107403,주식회사미디어앤아트,부산 부산진구 서면로 39,부산 부산진구 부전동 521-1,3129025,2623010300,2023-04-16 15:48,1,22500,요시고 사진전-부산 입장권,
f_f014737,오션월드 입장권,1,2,5248601528,네이버파이낸셜,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-08-29 00:00,1,74000,비발디파크 오션월드 이지패스당일사용 주중할인 입장권 구명조끼 락카 포함,
f_f014943,기차,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-13 00:00,3,8900,기차표 ,
f_f015092,물,0,1,,이마트24,신반포로 194,,,,,1,900,,1165010700
f_f015159,간식ㅡ빵.요거트,0,3,,이마트 이동점,대이로 188,,,,,1,8760,,4711311400
f_f015193,옷구매,1,1,,스텝이일,대구 중구 동성로3길 3,대구 중구 봉산동 25-11,4223085,2711010800,2023-08-31 18:16,1,17000,,
f_f015274,기차표예매,1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-31 14:40,3,7700,기차표 ,
f_f015274,기차표예매,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-31 14:35,3,7700,기차표 ,
f_f015281,시외버스 예매,1,3,1048183559,(주)티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-05 13:02,1,27400,버스표,
f_f015281,시외버스 예매,2,3,1048183559,티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-05 13:10,1,13700,버스표 ,
f_f015281,시외버스 예매,3,3,1048183559,㈜티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-05 13:00,1,41700,버스비,
f_f015335,문수 축구경기장 입장권,1,1,,,,,,,,1,16000,관람권 ,
f_f015344,맥모닝; 스낵랩; 커피,0,1,,맥도날드 춘천 퇴계DT,강원 춘천시 영서로 2173,,,,,1,4300,,4211012300
f_f015427,과일 사과 망고스틴 및 계란,1,2,6088528833,롯데마트,경남 창원시 마산회원구 내서읍 경남대로 927,경남 창원시 마산회원구 내서읍 삼계리 25-2,2019004,4812725028,2023-09-08 18:10,1,40300,행복생생란;풀무원 국산 찌개두부;어깨동무 알찬콩 순두부;한여름 첫 사과;태국 망고스틴,
f_f015457,고속버스표,0,2,,주식회사 야놀자,108길 42,,,,,1,28500,,1168010600
f_f015495,주유,1,2,6038511415,지에스칼텍스(주)다대주유소,부산 사하구 다대로 377,부산 사하구 장림동 506-12,3134007,2638010500,2023-09-23 09:48,1,26760,주유비,
f_f015498,입장권,0,1,,샤이니에스테틱,명지국제8로 233 6층,,,,,5,10000,,2644010400
f_f015559,지하철왕복교통비2500,1,1,,거진종합버스터미널,강원특별자치도 고성군 거진읍 거진길 21-2,강원특별자치도 고성군 거진읍 거진리 304-6,4502026,5182025321,2023-09-11 17:50,1,24500,버스표 ,
f_f015559,지하철왕복교통비2500,2,1,2238100015,금강고속,강원특별자치도 홍천군 홍천읍 홍천로 301,,3225052,5172025023,2023-09-11 08:24,1,25600,버스표 ,
f_f015568,주유비,1,4,7404100815,삼원SELF주유소,대구 동구 공항로 241,대구 동구 지저동 667-4,3007002,2714010800,2023-09-08 17:11,1,40000,주유비 ,
f_f015584,주유,1,2,,제1교주유소,,,,,2023-09-08 18:10,1,50000,주유비 ,
f_f015588,휴대용 장바구니& 바나나 &과자,1,1,5028528141,롯데슈퍼,대구 수성구 수성로 227,,3146017,2726010800,2023-09-10 21:37,3,12670,오리온썬4번들;고산지바나나;감자;다이소1000원균일가,
f_f015589,이효석문학관 + 효석 달빛언덕(이효석생가),1,2,2258300903,효석문화관,강원특별자치도 평창군 평창읍 군청길 77,강원특별자치도 평창군 평창읍 하리 210-2,4484034,5176025023,2023-09-05 09:46,1,4500,입장권 ,
f_f015590,음료; 간식(맛밤),0,1,,CU율하선수촌점,82,,,,,3,6000,,2714011800
f_f015646,음료수,0,2,,세븐일레븐,나전로444,,,,,1,5500,,4825035000
f_f015681,빵,1,2,6768500615,(주)서원유통 탑마트,대구 중구 중앙대로66길 20,대구 중구 남산동 3006,4223129,2711015600,2023-09-02 20:27,1,5900,추억의앙금빵,
f_f015754,ITX 열차 예매,1,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,2023-09-04 10:31,1,9800,기차표,
f_f015754,ITX 열차 예매,2,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-07 20:07,1,9800,기차표 ,
f_f015754,ITX 열차 예매,3,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,2023-09-04 00:00,3,8600,기차표,
f_f015754,ITX 열차 예매,4,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,대전 동구 소제동 293-74,3164033,3011011300,2023-09-07 00:00,3,8600,기차표,
f_f015755,레쉬가드 상의,1,1,,,,,,,2023-08-31 15:29,1,20000,몬스터서핑 래쉬가드 롱슬리브,
f_f015818,경주월드 입장권,5,1,2208742885,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-09-06 10:00,1,31900,[9월] 경주월드 종일오후 파크이용권,
f_f015848,버스표,1,2,,,,,,,2023-09-17 09:46,1,29800,버스표,
f_f015848,버스표,2,2,,,,,,,2023-09-14 23:13,1,29800,버스표,
f_f015891,김밥과 물과 티켓,1,2,6416400477,선비꼬마김밥,경북 포항시 북구 양덕로 60,경북 포항시 북구 양덕동 1731,3304025,4711312200,2023-09-03 09:07,1,3500,꼬마김밥 5줄 ,
