COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,f_f001027,7,2,7,1
2,f_f001028,2,1,1,1
1,f_f001028,1,1,5,1
2,f_f001031,2,2,2,1
1,f_f001031,1,1,5,1
3,f_f001031,2,1,2,1
1,f_f001033,8,1,4,1
2,f_f001037,2,1,2,1
1,f_f001037,1,2,4,1
3,f_f001037,2,1,2,1
1,f_f001038,1,1,5,1
3,f_f001038,2,1,1,1
2,f_f001038,2,1,1,1
2,f_f001047,2,1,1,1
1,f_f001047,1,2,5,1
3,f_f001047,2,1,1,1
1,f_f001048,3,2,7,1
2,f_f001048,5,2,4,1
1,f_f001050,8,1,4,1
2,f_f001051,2,1,2,1
1,f_f001051,1,1,5,1
2,f_f001061,6,1,2,1
1,f_f001061,2,1,1,1
3,f_f001061,6,1,2,1
1,f_f001062,8,2,3,1
1,f_f001070,1,2,5,1
3,f_f001070,2,1,1,1
2,f_f001070,2,1,1,1
2,f_f001071,2,1,1,1
1,f_f001071,1,1,5,1
3,f_f001071,2,1,1,1
2,f_f001072,2,2,1,1
1,f_f001072,1,1,5,1
3,f_f001072,2,1,1,1
2,f_f001075,2,2,1,1
4,f_f001075,3,2,7,3
6,f_f001075,5,1,4,3
8,f_f001075,6,2,4,3
1,f_f001075,1,1,4,1
3,f_f001075,3,1,7,3
5,f_f001075,5,1,4,3
7,f_f001075,6,2,4,3
9,f_f001075,6,2,1,3
1,f_f001077,1,2,4,1
3,f_f001077,2,2,2,1
2,f_f001077,2,1,1,1
1,f_f001082,1,1,4,1
3,f_f001082,7,2,4,1
2,f_f001082,7,1,4,1
2,f_f001083,2,1,1,1
1,f_f001083,1,1,4,1
1,f_f001093,2,1,4,1
2,f_f001093,2,1,4,1
1,f_f001097,1,1,4,1
1,f_f001098,1,2,5,1
1,f_f001100,8,1,4,1
1,f_f001101,8,2,3,1
1,f_f001104,8,1,5,1
3,f_f001108,2,2,2,1
2,f_f001108,2,2,3,1
1,f_f001108,1,1,5,1
2,f_f001109,2,2,2,1
1,f_f001109,1,1,5,1
3,f_f001109,2,2,2,1
1,f_f001110,1,1,6,1
1,f_f001114,8,2,3,1
1,f_f001120,1,1,6,1
1,f_f001125,7,2,4,1
1,f_f001130,7,2,6,3
1,f_f001133,1,2,5,1
1,f_f001136,1,2,4,1
3,f_f001136,2,2,1,1
2,f_f001136,2,1,1,1
1,f_f001137,8,2,4,1
1,f_f001140,1,2,5,1
3,f_f001140,2,1,1,1
2,f_f001140,2,1,2,1
3,f_f001141,2,2,2,1
2,f_f001141,2,2,2,1
1,f_f001141,1,1,5,1
2,f_f001148,2,1,1,1
1,f_f001148,1,1,5,1
1,f_f001154,8,2,3,1
1,f_f001161,1,1,5,3
3,f_f001161,2,1,2,1
2,f_f001161,2,2,2,1
2,f_f001162,2,1,1,1
1,f_f001162,1,1,5,1
7,f_f001165,6,1,2,1
2,f_f001165,2,2,2,1
4,f_f001165,3,2,8,1
6,f_f001165,6,2,6,1
8,f_f001165,6,2,2,1
1,f_f001165,1,1,5,1
3,f_f001165,2,2,2,1
5,f_f001165,6,1,6,1
1,f_f001168,1,2,4,1
2,f_f001168,2,1,1,1
1,f_f001170,1,2,5,1
3,f_f001170,2,1,2,1
2,f_f001170,2,1,2,1
2,f_f001173,2,2,2,1
1,f_f001173,2,2,2,1
3,f_f001173,4,2,8,3
1,f_f001178,1,1,4,1
3,f_f001178,2,1,1,1
2,f_f001178,2,1,1,1
1,f_f001180,7,2,3,1
1,f_f001182,2,1,1,1
2,f_f001185,2,2,2,1
1,f_f001185,1,1,5,1
1,f_f001186,5,2,3,1
1,f_f001187,3,2,7,2
2,f_f001187,5,2,4,1
1,f_f001188,5,2,4,1
2,f_f001189,2,2,1,1
1,f_f001189,1,2,5,1
2,f_f001192,7,1,6,1
1,f_f001192,7,1,6,1
1,f_f001196,8,1,4,1
2,f_f001198,2,2,1,1
4,f_f001198,11,1,4,3
1,f_f001198,1,2,5,1
3,f_f001198,11,2,1,3
1,f_f001202,8,2,4,1
1,f_f001205,7,2,3,1
2,f_f001208,2,1,1,1
1,f_f001208,1,2,4,1
2,f_f001212,2,2,1,1
1,f_f001212,1,1,4,1
3,f_f001212,2,1,1,1
1,f_f001216,8,2,3,1
1,f_f001217,7,1,3,1
1,f_f001219,7,2,5,1
1,f_f001232,7,2,3,1
1,f_f001235,7,2,3,1
2,f_f001235,7,2,3,1
1,f_f001237,3,1,6,1
2,f_f001237,3,2,6,1
1,f_f001238,1,1,7,1
3,f_f001238,6,1,7,1
2,f_f001238,5,2,7,1
1,f_f001240,1,2,6,1
2,f_f001243,2,1,1,1
1,f_f001243,1,1,4,1
1,f_f001244,7,2,5,1
1,f_f001246,7,2,4,1
1,f_f001251,2,1,2,1
2,f_f001251,2,2,2,1
1,f_f001252,1,2,5,1
3,f_f001252,2,1,2,1
2,f_f001252,2,2,2,1
2,f_f001253,2,1,1,1
1,f_f001253,1,2,5,1
3,f_f001253,2,2,1,1
1,f_f001255,8,2,3,1
2,f_f001256,2,2,1,1
1,f_f001256,1,1,6,1
1,f_f001257,5,2,3,1
1,f_f001258,8,1,4,1
1,f_f001259,2,1,1,1
1,f_f001264,7,1,6,1
1,f_f001266,1,1,6,1
1,f_f001271,7,2,3,3
2,f_f001271,7,2,3,1
1,f_f001273,3,1,7,1
3,f_f001273,5,1,4,1
2,f_f001273,3,2,6,1
1,f_f001275,8,1,5,1
1,f_f001276,1,1,5,1
3,f_f001276,2,2,1,1
2,f_f001276,2,2,1,1
4,f_f001276,2,1,1,1
2,f_f001279,3,2,6,1
4,f_f001279,5,1,3,1
1,f_f001279,3,1,7,1
3,f_f001279,5,1,4,1
2,f_f001287,11,1,1,1
1,f_f001287,2,2,4,1
2,f_f001292,3,1,6,1
1,f_f001292,3,2,6,1
2,f_f001294,2,2,1,1
1,f_f001294,1,1,5,1
2,f_f001299,2,1,1,1
1,f_f001299,1,2,4,1
3,f_f001299,2,1,1,1
4,f_f001308,1,2,4,1
1,f_f001308,3,1,7,2
3,f_f001308,5,1,4,2
2,f_f001308,3,2,7,2
2,f_f001312,2,2,2,1
1,f_f001312,1,1,5,1
3,f_f001312,2,2,1,1
1,f_f001315,1,1,4,1
2,f_f001315,2,1,1,1
1,f_f001317,1,1,4,1
3,f_f001317,2,2,1,1
2,f_f001317,2,1,1,1
2,f_f001319,2,1,2,1
1,f_f001319,1,1,5,1
3,f_f001319,2,2,1,1
1,f_f001324,7,2,3,1
1,f_f001328,8,1,4,1
1,f_f001331,1,1,4,1
1,f_f001333,8,1,4,1
2,f_f001335,2,2,2,1
1,f_f001335,1,1,5,1
3,f_f001335,2,1,2,1
1,f_f001338,8,2,3,1
2,f_f001350,10,2,6,1
4,f_f001350,10,2,5,3
1,f_f001350,10,2,7,1
3,f_f001350,10,2,6,1
5,f_f001350,10,1,4,3
1,f_f001355,8,1,4,1
1,f_f001356,8,1,4,1
1,f_f001358,1,1,5,1
3,f_f001358,2,2,1,1
2,f_f001358,2,2,2,1
2,f_f001359,7,2,3,3
1,f_f001359,7,2,3,3
3,f_f001364,3,2,7,1
2,f_f001364,2,2,1,1
4,f_f001364,4,2,8,1
1,f_f001364,1,1,4,1
1,f_f001365,1,1,5,1
3,f_f001365,2,2,1,1
5,f_f001365,9,2,4,2
2,f_f001365,2,1,1,1
